Sentence_ID,Token,Lemma,Tag
22,písať,písať,Vf--------A----
22,esemesky,esemesky,X@-------------
22,k,k-1,RR--3----------
22,Vianociam,Vianociam,X@-------------
22,aj,aj,J^-------------
22,s,s-1,RR--7----------
22,interpunkciou,interpunkcia,NNFS7-----A----
22,?,?,Z:-------------
23,O,o-1,RR--6----------
23,pohánke,pohánka,NNFS6-----A----
23,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
23,tradujú,tradovať,VB-P---3P-AA---
23,tri,tri`3,ClIP1----------
23,chýry,chýr,NNIP1-----A----
23,",",",",Z:-------------
23,z,z-1,RR--2----------
23,ktorých,ktorý,P4XP2----------
23,dva,dva`2,ClIP1----------
23,sú,byť,VB-P---3P-AA---
23,zaručene,zaručene_^(*3iť),Dg-------1A----
23,nepravdivé,pravdivý,AAFP1----1N----
23,.,.,Z:-------------
24,Hovorí,hovoriť_^(rozprávať),VB-S---3P-AA---
24,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
24,",",",",Z:-------------
24,že,že,"J,-------------"
24,je,byť,VB-S---3P-AA---
24,to,ten,PDNS1----------
24,jedlo,jedlo_^(potrava),NNNS1-----A----
24,chudobných,chudobný,AAIP2----1A----
24,.,.,Z:-------------
25,Naši,môj_^(privlast.),PSMP1-P1-------
25,predkovia,predok,NNMP1-----A----
25,mali,mať_^(vlastniť),VpXP---XR-AA---
25,pohánkovú,pohánkový,AAFS4----1A----
25,kašu,kaša,NNFS4-----A----
25,na,na-1,RR--6----------
25,stole,stôl,NNIS6-----A----
25,častejšie,často_^(*1ý),Dg-------2A----
25,ako,ako,"J,-------------"
25,zemiaky,zemiak,NNIP1-----A----
25,.,.,Z:-------------
26,Dnes,dnes,Db-------------
26,to,ten,PDNS1----------
26,však,však,J^-------------
26,neplatí,platiť,VB-S---3P-NA---
26,",",",",Z:-------------
26,lebo,lebo,"J,-------------"
26,zažíva,zažívať,VB-S---3P-AA---
26,renesanciu,renesancia,NNFS4-----A----
26,najmä,najmä,Db-------------
26,v,v-1,RR--6----------
26,obchodoch,obchod,NNIP6-----A----
26,so,s-1,RV--7----------
26,zdravou,zdravý,AAFS7----1A----
26,výživou,výživa,NNFS7-----A----
26,.,.,Z:-------------
27,Neplatí,platiť,VB-S---3P-NA---
27,ani,ani,J^-------------
27,druhý,druhý-2,CrIS4----------
27,mýtus,mýtus,NNIS4-----A----
27,",",",",Z:-------------
27,ktorý,ktorý,P4MS1----------
27,zaraďuje,zaraďovať,VB-S---3P-AA---
27,pohánku,pohánka,NNFS4-----A----
27,medzi,medzi-1,RR--4----------
27,obilniny,obilnina,NNFP4-----A----
27,.,.,Z:-------------
28,Aj,aj,J^-------------
28,keď,keď,"J,-------------"
28,nejde,ísť,VB-S---3P-NA---
28,o,o-1,RR--4----------
28,obilninu,obilnina,NNFS4-----A----
28,",",",",Z:-------------
28,veľmi,veľmi,Db-------------
28,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
28,na,na-1,RR--4----------
28,ňu,on-1,P5FS4--3-------
28,ponáša,ponášať,VB-S---3P-AA---
28,.,.,Z:-------------
29,Príbuzná,príbuzný-1_^(člen_rodiny),AAFS1----1A----
29,je,byť,VB-S---3P-AA---
29,napríklad,napríklad,TT-------------
29,s,s-1,RR--7----------
29,rebarborou,rebarbora,NNFS7-----A----
29,či,či,J^-------------
29,šťaveľom,šťaveľ,NNIS7-----A----
29,.,.,Z:-------------
30,Stáva,stať-2_^(niečo_sa_prihodilo;_zmena_stavu),VB-S---3P-AA---
30,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
30,neoceniteľnou,oceniteľný,AAFS7----1N----
30,náhradou,náhrada,NNFS7-----A----
30,pre,pre-1,RR--4----------
30,celiatikov,celiatikov,X@-------------
30,a,a-1,J^-------------
30,je,byť,VB-S---3P-AA---
30,vhodná,vhodný,AAFS1----1A----
30,aj,aj,J^-------------
30,pre,pre-1,RR--4----------
30,úplne,úplne_^(*1ý),Dg-------1A----
30,malé,malý,AAFP4----1A----
30,deti,dieťa,NNNP4-----A----
30,.,.,Z:-------------
31,Zvyšuje,zvyšovať,VB-S---3P-AA---
31,pružnosť,pružnosť_^(*3ý),NNFS4-----A----
31,krvných,krvný,AAFP2----1A----
31,ciev,cieva,NNFP2-----A----
31,a,a-1,J^-------------
31,pomáha,pomáhať,VB-S---3P-AA---
31,regulovať,regulovať,Vf--------A----
31,zrážavosť,zrážavosť_^(*3ý),NNFS4-----A----
31,krvi,krv,NNFS2-----A----
31,.,.,Z:-------------
32,Je,byť,VB-S---3P-AA---
32,ľahko,ľahko,Dg-------1A----
32,stráviteľná,stráviteľný,AAFS1----1A----
32,a,a-1,J^-------------
32,obsahuje,obsahovať,VB-S---3P-AA---
32,veľa,veľa,Dg-------1A----
32,vlákniny,vláknina,NNFS2-----A----
32,.,.,Z:-------------
33,Pohánkové,pohánkový,AANS1----1A----
33,zrno,zrno,NNNS1-----A----
33,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
33,podáva,podávať,VB-S---3P-AA---
33,ako,ako,"J,-------------"
33,príloha,príloha,NNFS1-----A----
33,namiesto,miesto-2_^(zámenou_za),RR--2----------
33,ryže,ryža,NNFS2-----A----
33,alebo,alebo,J^-------------
33,ako,ako,"J,-------------"
33,základ,základ,NNIS4-----A----
33,do,do-1,RR--2----------
33,šalátov,šalát,NNIP2-----A----
33,či,či,J^-------------
33,nákypov,nákyp,NNIP2-----A----
33,.,.,Z:-------------
34,Pravdivý,pravdivý,AAIS1----1A----
34,je,byť,VB-S---3P-AA---
34,iba,iba,TT-------------
34,pôvod,pôvod,NNIS1-----A----
34,jej,jeho_^(privlast.),PSXXXFS3-------
34,názvu,názov,NNIS2-----A----
34,.,.,Z:-------------
35,Ten,ten,PDIS1----------
35,jej,on-1_^(dať_jej_niečo),PPFS3--3-------
35,prischol,prischnúť,VpYS---XR-AA---
35,práve,"práve_^(v_tom_okamihu,_súčasne)",Db-------------
35,preto,"preto-1_^(preto;_a_preto,_ale_preto,...)",J^-------------
35,",",",",Z:-------------
35,že,že,"J,-------------"
35,ju,on-1,PPFS4--3-------
35,sem,sem,Db-------------
35,priniesli,priniesť,VpXP---XR-AA---
35,pohania,pohan_^(nekresťan),NNMP1-----A----
35,.,.,Z:-------------
36,Konkrétne,konkrétne_^(*1y),Dg-------1A----
36,Tatári,Tatár,NNMP1-----A----
36,počas,počas,RR--2----------
36,svojich,svoj_^(privlast.),P8XP2----------
36,inváznych,invázny,AAIP2----1A----
36,nájazdov,nájazd,NNIP2-----A----
36,v,v-1,RR--6----------
36,13,13,C=-------------
36,.,.,Z:-------------
36,storočí,storočie,NNNS6-----A----
36,.,.,Z:-------------
37,Milí,milý-2_^(osoba;_pr._môj_milý),AAMP1----1A----
37,deviataci,deviatak,NNMP1-----A----
37,",",",",Z:-------------
37,spomínate,spomínať,VB-P---2P-AA---
37,si,sa_^(zvr._zámeno;_častica),P7-X3----------
37,ešte,ešte,Db-------------
37,na,na-1,RR--4----------
37,svoj,svoj_^(privlast.),P8IS4----------
37,prvý,prvý,CrIS4----------
37,školský,školský,AAIS4----1A----
37,deň,deň,NNIS4-----A----
37,?,?,Z:-------------
38,Bolo,byť,VpNS---XR-AA---
38,to,ten,PDNS1----------
38,pred,pred-1,RR--7----------
38,deviatimi,deväť`9,Cn-S7----------
38,rokmi,rok,NNIP7-----A----
38,",",",",Z:-------------
38,keď,keď,"J,-------------"
38,ste,byť,VB-P---2P-AA---
38,s,s-1,RR--7----------
38,rukou,ruka,NNFS7-----A----
38,v,v-1,RR--6----------
38,maminej,mamin_^(jeden_z_rodičov)_(*2a),AUFS6M---------
38,dlani,dlaň,NNFS6-----A----
38,vstúpili,vstúpiť,VpXP---XR-AA---
38,do,do-1,RR--2----------
38,prváckej,prvácky,AAFS2----1A----
38,triedy,trieda,NNFS2-----A----
38,.,.,Z:-------------
39,So,s-1,RV--7----------
39,zatajeným,zatajený_^(*3iť),AAIS7----1A----
39,dychom,dych,NNIS7-----A----
39,ste,byť,VB-P---2P-AA---
39,počúvali,počúvať,VpXP---XR-AA---
39,milé,milý-1_^(príjemný),AANP4----1A----
39,slová,slovo,NNNP4-----A----
39,pani,pani,NNFS1-----A----
39,učiteľky,učiteľka_^(*2),NNFS2-----A----
39,.,.,Z:-------------
40,Postupne,postupne_^(*1ý),Dg-------1A----
40,ste,byť,VB-P---2P-AA---
40,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
40,naučili,naučiť,VpXP---XR-AA---
40,prvé,prvý,CrNS4----------
40,písmená,písmeno,NNNP4-----A----
40,",",",",Z:-------------
40,zvládli,zvládnuť,VpXP---XR-AA---
40,ste,byť,VB-P---2P-AA---
40,prečítať,prečítať,Vf--------A----
40,aj,aj,J^-------------
40,prvé,prvý,CrFP4----------
40,slabiky,slabika,NNFP4-----A----
40,a,a-1,J^-------------
40,slová,slovo,NNNP4-----A----
40,.,.,Z:-------------
41,Detské,detský,AAIP1----1A----
41,roky,rok,NNIP1-----A----
41,v,v-1,RR--6----------
41,škole,škola,NNFS6-----A----
41,ubehli,ubehnúť,VpXP---XR-AA---
41,ako,ako,"J,-------------"
41,voda,voda,NNFS1-----A----
41,a,a-1,J^-------------
41,zrazu,zrazu,Db-------------
41,ste,byť,VB-P---2P-AA---
41,stáli,stáť-1_^(niekto[niečo]_stojí_[na_nohách]),VpXP---XR-AA---
41,pred,pred-1,RR--7----------
41,ťažkým,ťažký,AANS7----1A----
41,rozhodnutím,rozhodnutie_^(*4úť),NNNS7-----A----
41,.,.,Z:-------------
42,Niektorí,niektorý,PZMP1----------
42,riešili,riešiť,VpXP---XR-AA---
42,dilemu,dilema,NNFS4-----A----
42,",",",",Z:-------------
42,ktorú,ktorý,P4FS4----------
42,strednú,stredný,AAFS4----1A----
42,školu,škola,NNFS4-----A----
42,si,sa_^(zvr._zámeno;_častica),P7-X3----------
42,vybrať,vybrať,Vf--------A----
42,.,.,Z:-------------
43,Napokon,napokon,Db-------------
43,ste,byť,VB-P---2P-AA---
43,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
43,prihlásili,prihlásiť,VpXP---XR-AA---
43,tam,tam,Db-------------
43,",",",",Z:-------------
43,kde,kde,Db-------------
43,vidíte,vidieť,VB-P---2P-AA---
43,svoje,svoj_^(privlast.),P8NS4----------
43,uplatnenie,uplatnenie_^(*4iť),NNNS4-----A----
43,v,v-1,RR--6----------
43,ďalšom,ďalší,AAIS6----1A----
43,živote,život,NNIS6-----A----
43,.,.,Z:-------------
44,Teraz,teraz,Db-------------
44,si,sa_^(zvr._zámeno;_častica),P7-X3----------
44,určite,určite,Dg-------1A----
44,užijete,užiť,VB-P---2P-AA---
44,letné,letný,AAFP4----1A----
44,prázdniny,prázdniny,NNFP4-----A----
44,",",",",Z:-------------
44,mnohí,mnohý,AAMP1----1A----
44,v,v-1,RR--6----------
44,dovolenkových,dovolenkový,AAFP6----1A----
44,destináciách,destinácia,NNFP6-----A----
44,nielen,nielen,J^-------------
44,na,na-1,RR--6----------
44,Slovensku,Slovensko_;G,NNNS6-----A----
44,",",",",Z:-------------
44,ale,ale,J^-------------
44,aj,aj,J^-------------
44,v,v-1,RR--6----------
44,iných,iný,AAFP6----1A----
44,európskych,európsky,AAFP6----1A----
44,krajinách,krajina,NNFP6-----A----
44,.,.,Z:-------------
45,V,v-1,RR--6----------
45,septembri,september,NNIS6-----A----
45,vás,ty,PP-P4--2-------
45,privíta,privítať,VB-S---3P-AA---
45,stredná,stredný,AAFS1----1A----
45,škola,škola,NNFS1-----A----
45,s,s-1,RR--7----------
45,novými,nový,AAMP7----1A----
45,priateľmi,priateľ,NNMP7-----A----
45,i,i-1,J^-------------
45,učiteľmi,učiteľ,NNMP7-----A----
45,.,.,Z:-------------
46,Mnohí,mnohý,AAMP1----1A----
46,máte,mať_^(vlastniť),VB-P---2P-AA---
46,ambície,ambícia,NNFP4-----A----
46,úspešne,úspešne_^(*1ý),Dg-------1A----
46,zmaturovať,zmaturovať,Vf--------A----
46,a,a-1,J^-------------
46,potom,potom_^(neskôr),Db-------------
46,sa,sa_^(zvr._zámeno;_častica),P7-X4----------
46,prihlásiť,prihlásiť,Vf--------A----
46,na,na-1,RR--4----------
46,vysokoškolské,vysokoškolský,AANS4----1A----
46,štúdium,štúdium_^(vedecký_výskum;_študovanie_[VŠ]),NNNS4-----A----
46,.,.,Z:-------------
47,Tak,tak,Db-------------
47,veľa,veľa,Dg-------1A----
47,zdaru,zdar,NNIS2-----A----
47,a,a-1,J^-------------
47,životných,životný,AAIP2----1A----
47,úspechov,úspech,NNIP2-----A----
47,",",",",Z:-------------
47,milí,milý-2_^(osoba;_pr._môj_milý),AAMP1----1A----
47,deviataci,deviatak,NNMP1-----A----
47,!,!,Z:-------------
48,Na,na-1,RR--6----------
48,školských,školský,AAIP6----1A----
48,výletoch,výlet,NNIP6-----A----
48,spoznávame,spoznávať,VB-P---1P-AA---
48,krásy,krása,NNFP4-----A----
48,Slovenska,Slovensko_;G,NNNS2-----A----
48,",",",",Z:-------------
48,kultúrne,kultúrny,AAFP4----1A----
48,a,a-1,J^-------------
48,historické,historický,AAFP4----1A----
48,pamiatky,pamiatka,NNFP4-----A----
48,.,.,Z:-------------
49,Siedmy,siedmy,AAIS1----1A----
49,jún,jún,NNIS1-----A----
49,bol,byť,VpYS---XR-AA---
49,naším,môj_^(privlast.),PSIS7-P1-------
49,výletným,výletný,AAIS7----1A----
49,dňom,deň,NNIS7-----A----
49,.,.,Z:-------------
50,Triedni,triedny,AAMP1----1A----
50,učitelia,učiteľ,NNMP1-----A----
50,odcestovali,odcestovať,VpXP---XR-AA---
50,s,s-1,RR--7----------
50,dvadsiatimi,dvadsať`20,Cn-S7----------
50,štyrmi,štyri`4,ClXP7----------
50,siedmakmi,siedmak,NNMP7-----A----
50,na,na-1,RR--4----------
50,sever,sever,NNIS4-----A----
50,Slovenska,Slovensko_;G,NNNS2-----A----
50,.,.,Z:-------------
51,Dominantou,dominanta,NNFS7-----A----
51,Oravy,Orava_;G,NNFS2-----A----
51,je,byť,VB-S---3P-AA---
51,Oravský,Oravský,AAIS1----1A----
51,hrad,hrad,NNIS1-----A----
51,a,a-1,J^-------------
51,Oravská,Oravský,AAFS1----1A----
51,priehrada,priehrada,NNFS1-----A----
51,.,.,Z:-------------
52,Niektorí,niektorý,PZMP1----------
52,žiaci,žiak,NNMP1-----A----
52,navštívili,navštíviť,VpXP---XR-AA---
52,túto,tento,PDFS4----------
